label;region
E15;RF
E1;RF
E9;RF
E16;RF
E10;RF
E3;RF
E2;RF
E11;RF
E4;RF
E124;RF
E123;RF
E122;RF
E5;RF
E118;RF
E117;RF
E116;RF
E6;RC
E112;RC
E111;RC
E110;RC
E106;RC
E105;RC
E104;RC
E103;RC
Cz;RC
E80;RC
E87;RC
E93;RC
E55;RC
E79;RC
E98;RC
E86;RC
E92;RP
E97;RP
E78;RP
E62;RP
E85;RP
E77;RP
E91;RP
E72;RP
E96;RP
E76;RP
E84;RP
E75;RO
E83;RO
E90;RO
E95;RO
E82;RO
E89;RO
E121;RT
E114;RT
E115;RT
E109;RT
E102;RT
E108;RT
E101;RT
E100;RT
E32;LF
E22;LF
E18;LF
E23;LF
E26;LF
E19;LF
E24;LF
E27;LF
E33;LF
E12;LF
E20;LF
E28;LF
E34;LF
E13;LC
E29;LC
E35;LC
E7;LC
E30;LC
E36;LC
E41;LC
E31;LC
E37;LC
E42;LC
E54;LC
E47;LC
E53;LC
E52;LP
E51;LP
E61;LP
E60;LP
E67;LP
E59;LP
E58;LP
E71;LP
E66;LP
E70;LO
E65;LO
E64;LO
E74;LO
E69;LO
E38;LT
E44;LT
E39;LT
E40;LT
E46;LT
E45;LT
E50;LT
E57;LT
